shoe,hands_played,net_return,avg_return_per_hand
1,100,-18,-0.1800
2,101,-2,-0.0198
3,202,-10,-0.0495
4,50,-47,-0.9400
5,254,+25,+0.0984
6,50,-9,-0.1800
7,50,-6,-0.1200
8,154,+1,+0.0065
9,52,+3,+0.0577
10,51,+7,+0.1373
11,201,+0,+0.0000
12,198,-3,-0.0152
13,51,-8,-0.1569
14,48,+3,+0.0625
15,150,+10,+0.0667
16,48,+11,+0.2292
17,401,+14,+0.0349
18,202,+34,+0.1683
19,103,+9,+0.0874
20,149,-1,-0.0067
21,52,+8,+0.1538
22,100,-8,-0.0800
23,198,+11,+0.0556
24,50,+16,+0.3200
25,102,+10,+0.0980
26,52,-1,-0.0192
27,50,+8,+0.1600
28,151,+1,+0.0066
29,50,+0,+0.0000
30,253,+17,+0.0672
31,51,-8,-0.1569
32,302,-12,-0.0397
33,248,-10,-0.0403
34,150,+14,+0.0933
35,202,-8,-0.0396
36,345,+6,+0.0174
37,98,-3,-0.0306
38,300,+20,+0.0667
39,253,-20,-0.0791
40,49,+1,+0.0204
41,99,-5,-0.0505
42,403,+3,+0.0074
43,150,-15,-0.1000
44,100,-12,-0.1200
45,98,-14,-0.1429
46,148,+8,+0.0541
47,203,+9,+0.0443
48,200,+1,+0.0050
49,301,-8,-0.0266
50,51,+1,+0.0196
51,51,+4,+0.0784
52,51,-3,-0.0588
53,51,-18,-0.3529
54,100,+9,+0.0900
55,103,+13,+0.1262
56,151,+9,+0.0596
57,51,-11,-0.2157
58,152,-12,-0.0789
59,301,+60,+0.1993
60,48,-5,-0.1042
61,100,+14,+0.1400
62,51,-1,-0.0196
63,99,+13,+0.1313
64,153,+20,+0.1307
65,254,-4,-0.0157
66,247,+13,+0.0526
67,101,-7,-0.0693
68,50,+2,+0.0400
69,48,-12,-0.2500
70,202,+43,+0.2129
71,49,+7,+0.1429
72,102,-1,-0.0098
73,299,-13,-0.0435
74,51,-7,-0.1373
75,101,+9,+0.0891
76,51,-14,-0.2745
77,50,+8,+0.1600
78,101,+15,+0.1485
79,100,-4,-0.0400
80,353,-14,-0.0397
81,151,+21,+0.1391
82,99,+17,+0.1717
83,154,-6,-0.0390
84,450,+40,+0.0889
85,302,-5,-0.0166
86,50,-11,-0.2200
87,51,-16,-0.3137
88,202,+24,+0.1188
89,304,+0,+0.0000
90,154,-24,-0.1558
91,206,+13,+0.0631
92,203,+9,+0.0443
93,51,+1,+0.0196
94,246,+20,+0.0813
95,151,+15,+0.0993
96,53,+3,+0.0566
97,101,-7,-0.0693
98,202,-12,-0.0594
99,51,+1,+0.0196
100,101,+4,+0.0396
101,102,-5,-0.0490
102,50,-4,-0.0800
103,101,-12,-0.1188
104,354,+19,+0.0537
105,101,-5,-0.0495
106,148,+9,+0.0608
107,152,+7,+0.0461
108,200,+4,+0.0200
109,52,-2,-0.0385
110,49,+9,+0.1837
111,255,+26,+0.1020
112,49,+7,+0.1429
113,202,-12,-0.0594
114,98,+15,+0.1531
115,49,-2,-0.0408
116,98,+12,+0.1224
117,51,+8,+0.1569
118,100,-3,-0.0300
119,200,-20,-0.1000
120,51,+10,+0.1961
121,50,-1,-0.0200
122,248,+20,+0.0806
123,51,-8,-0.1569
124,51,+15,+0.2941
125,101,+0,+0.0000
126,101,+8,+0.0792
127,150,-14,-0.0933
128,98,+47,+0.4796
129,50,+4,+0.0800
130,51,+11,+0.2157
131,101,+25,+0.2475
132,50,+0,+0.0000
133,152,+19,+0.1250
134,50,-4,-0.0800
135,101,-11,-0.1089
136,50,-1,-0.0200
137,52,-4,-0.0769
138,51,-4,-0.0784
139,52,-1,-0.0192
140,349,+25,+0.0716
141,152,+20,+0.1316
142,302,-2,-0.0066
143,100,+12,+0.1200
144,147,-8,-0.0544
145,103,-7,-0.0680
146,152,+25,+0.1645
147,49,-1,-0.0204
148,47,+16,+0.3404
149,51,+3,+0.0588
150,100,+9,+0.0900
151,99,+5,+0.0505
152,306,+9,+0.0294
153,51,-1,-0.0196
154,100,-12,-0.1200
155,151,+20,+0.1325
156,100,+9,+0.0900
157,101,+6,+0.0594
158,51,+3,+0.0588
159,51,-1,-0.0196
160,50,+17,+0.3400
161,102,+1,+0.0098
162,100,+11,+0.1100
163,101,-6,-0.0594
164,47,-7,-0.1489
165,50,-12,-0.2400
166,198,-1,-0.0051
167,49,+24,+0.4898
168,551,-33,-0.0599
169,203,+7,+0.0345
170,152,-4,-0.0263
171,49,-1,-0.0204
172,99,+5,+0.0505
173,99,+0,+0.0000
174,102,-3,-0.0294
175,153,-3,-0.0196
176,99,-1,-0.0101
177,200,+7,+0.0350
178,50,-4,-0.0800
179,50,-11,-0.2200
180,102,-9,-0.0882
181,99,+0,+0.0000
182,51,+7,+0.1373
183,51,-5,-0.0980
184,96,+11,+0.1146
185,202,+5,+0.0248
186,99,+7,+0.0707
187,98,-8,-0.0816
188,102,-7,-0.0686
189,101,-2,-0.0198
190,49,+1,+0.0204
191,51,-13,-0.2549
192,101,+11,+0.1089
193,52,+18,+0.3462
194,51,-9,-0.1765
195,253,+1,+0.0040
196,101,-9,-0.0891
197,152,+5,+0.0329
198,152,+48,+0.3158
199,102,+3,+0.0294
200,51,-10,-0.1961
201,51,+13,+0.2549
202,454,+37,+0.0815
203,50,+2,+0.0400
204,398,-24,-0.0603
205,201,-21,-0.1045
206,51,+2,+0.0392
207,153,-5,-0.0327
208,49,+0,+0.0000
209,149,-3,-0.0201
210,297,-25,-0.0842
211,100,+11,+0.1100
212,250,+24,+0.0960
213,52,+2,+0.0385
214,50,+0,+0.0000
215,50,+13,+0.2600
216,201,-24,-0.1194
217,100,-16,-0.1600
218,99,+9,+0.0909
219,50,-1,-0.0200
220,255,-19,-0.0745
221,100,-14,-0.1400
222,50,-7,-0.1400
223,153,+7,+0.0458
224,98,+6,+0.0612
225,50,-10,-0.2000
226,101,-14,-0.1386
227,103,+17,+0.1650
228,150,+9,+0.0600
229,100,+11,+0.1100
230,50,-1,-0.0200
231,101,+4,+0.0396
232,151,-17,-0.1126
233,148,+26,+0.1757
234,49,+13,+0.2653
235,48,-9,-0.1875
236,148,-1,-0.0068
237,49,-16,-0.3265
238,97,-9,-0.0928
239,50,-1,-0.0200
240,52,+6,+0.1154
241,102,+7,+0.0686
242,252,-24,-0.0952
243,104,+11,+0.1058
244,197,-7,-0.0355
245,49,+5,+0.1020
246,103,-4,-0.0388
247,52,+2,+0.0385
248,50,+2,+0.0400
249,49,+6,+0.1224
250,48,+59,+1.2292
251,51,+18,+0.3529
252,199,-17,-0.0854
253,49,+1,+0.0204
254,51,+6,+0.1176
255,100,+7,+0.0700
256,49,+6,+0.1224
257,354,+41,+0.1158
258,51,-13,-0.2549
259,50,-12,-0.2400
260,49,-3,-0.0612
261,51,-9,-0.1765
262,51,-4,-0.0784
263,697,-6,-0.0086
264,50,+1,+0.0200
265,203,-25,-0.1232
266,100,-9,-0.0900
267,49,+3,+0.0612
268,250,+34,+0.1360
269,99,+19,+0.1919
270,50,+0,+0.0000
271,103,-11,-0.1068
272,356,-13,-0.0365
273,148,-3,-0.0203
274,104,+12,+0.1154
275,52,+17,+0.3269
276,101,-4,-0.0396
277,199,+7,+0.0352
278,99,-10,-0.1010
279,152,+2,+0.0132
280,305,+8,+0.0262
281,151,+1,+0.0066
282,200,-2,-0.0100
283,104,-17,-0.1635
284,50,-13,-0.2600
285,50,-7,-0.1400
286,149,-2,-0.0134
287,251,-44,-0.1753
288,300,+37,+0.1233
289,50,+7,+0.1400
290,102,-14,-0.1373
291,50,+2,+0.0400
292,201,+4,+0.0199
293,456,-20,-0.0439
294,300,+26,+0.0867
295,103,+7,+0.0680
296,102,-7,-0.0686
297,102,-20,-0.1961
298,50,+1,+0.0200
299,48,-3,-0.0625
300,550,-4,-0.0073
301,149,-7,-0.0470
302,294,+30,+0.1020
303,450,+17,+0.0378
304,203,+17,+0.0837
305,99,-13,-0.1313
306,348,+16,+0.0460
307,50,-5,-0.1000
308,52,+8,+0.1538
309,49,+15,+0.3061
310,202,+0,+0.0000
311,302,-19,-0.0629
312,50,-6,-0.1200
313,51,+3,+0.0588
314,50,+4,+0.0800
315,100,-9,-0.0900
316,252,-20,-0.0794
317,101,-2,-0.0198
318,51,-5,-0.0980
319,102,-9,-0.0882
320,100,+12,+0.1200
321,149,-14,-0.0940
322,49,+5,+0.1020
323,151,-3,-0.0199
324,255,+5,+0.0196
325,102,-3,-0.0294
326,50,-12,-0.2400
327,152,-1,-0.0066
328,52,-8,-0.1538
329,152,-15,-0.0987
330,202,+41,+0.2030
331,101,+13,+0.1287
332,104,-15,-0.1442
333,198,-16,-0.0808
334,47,-1,-0.0213
335,99,+18,+0.1818
336,199,+9,+0.0452
337,51,+2,+0.0392
338,100,-9,-0.0900
339,49,+8,+0.1633
340,51,+3,+0.0588
341,201,+28,+0.1393
342,51,-8,-0.1569
343,50,+1,+0.0200
344,50,+1,+0.0200
345,153,-15,-0.0980
346,51,-6,-0.1176
347,102,+68,+0.6667
348,100,-4,-0.0400
349,148,+22,+0.1486
350,349,+38,+0.1089
351,50,+5,+0.1000
352,50,-2,-0.0400
353,298,+23,+0.0772
354,151,+2,+0.0132
355,102,+11,+0.1078
356,51,+14,+0.2745
357,252,-7,-0.0278
358,249,-16,-0.0643
359,49,+14,+0.2857
360,49,-6,-0.1224
361,350,-7,-0.0200
362,51,-1,-0.0196
363,49,+6,+0.1224
364,148,+7,+0.0473
365,100,-8,-0.0800
366,50,+13,+0.2600
367,102,+9,+0.0882
368,145,-11,-0.0759
369,100,+0,+0.0000
370,201,-10,-0.0498
371,247,-54,-0.2186
372,200,-12,-0.0600
373,99,+8,+0.0808
374,298,+7,+0.0235
375,52,-14,-0.2692
376,49,+2,+0.0408
377,102,+35,+0.3431
378,152,-4,-0.0263
379,50,+10,+0.2000
380,347,+38,+0.1095
381,154,-1,-0.0065
382,451,+4,+0.0089
383,203,-12,-0.0591
384,47,-7,-0.1489
385,407,+23,+0.0565
386,51,-5,-0.0980
387,50,+5,+0.1000
388,51,-8,-0.1569
389,199,-6,-0.0302
390,50,+7,+0.1400
391,50,+3,+0.0600
392,50,+0,+0.0000
393,101,-2,-0.0198
394,50,-4,-0.0800
395,53,+2,+0.0377
396,300,+2,+0.0067
397,51,+11,+0.2157
398,100,+30,+0.3000
399,102,-18,-0.1765
400,99,-5,-0.0505
401,50,+1,+0.0200
402,98,-9,-0.0918
403,48,-2,-0.0417
404,50,-2,-0.0400
405,302,+23,+0.0762
406,199,+27,+0.1357
407,302,+2,+0.0066
408,100,+9,+0.0900
409,404,-30,-0.0743
410,52,+3,+0.0577
411,300,+2,+0.0067
412,101,+0,+0.0000
413,50,+6,+0.1200
414,247,+133,+0.5385
415,354,-7,-0.0198
416,101,-10,-0.0990
417,202,+1,+0.0050
418,51,+11,+0.2157
419,51,-10,-0.1961
420,53,+10,+0.1887
421,150,-49,-0.3267
422,100,-20,-0.2000
423,152,+37,+0.2434
424,198,+7,+0.0354
425,51,+3,+0.0588
426,654,-45,-0.0688
427,48,-13,-0.2708
428,500,+17,+0.0340
429,256,-36,-0.1406
430,49,-5,-0.1020
431,49,-5,-0.1020
432,52,-9,-0.1731
433,101,-1,-0.0099
434,501,-1,-0.0020
435,50,+3,+0.0600
436,199,-8,-0.0402
437,154,-11,-0.0714
438,247,+27,+0.1093
439,51,+1,+0.0196
440,51,+0,+0.0000
441,347,+14,+0.0403
442,152,+14,+0.0921
443,149,+3,+0.0201
444,50,-4,-0.0800
445,99,-4,-0.0404
446,51,-7,-0.1373
447,249,+2,+0.0080
448,49,-2,-0.0408
449,205,-19,-0.0927
450,100,+6,+0.0600
451,101,-8,-0.0792
452,49,-10,-0.2041
453,454,-31,-0.0683
454,48,+11,+0.2292
455,203,-11,-0.0542
456,200,+2,+0.0100
457,99,+5,+0.0505
458,51,+8,+0.1569
459,53,-6,-0.1132
460,198,+36,+0.1818
461,51,-23,-0.4510
462,250,+17,+0.0680
463,201,+15,+0.0746
464,149,-19,-0.1275
465,100,-23,-0.2300
466,103,+4,+0.0388
467,50,+10,+0.2000
468,51,+14,+0.2745
469,198,+10,+0.0505
470,101,-26,-0.2574
471,150,+0,+0.0000
472,200,+19,+0.0950
473,198,+32,+0.1616
474,254,-5,-0.0197
475,103,-14,-0.1359
476,51,-3,-0.0588
477,100,-11,-0.1100
478,203,-23,-0.1133
479,101,+10,+0.0990
480,102,-5,-0.0490
481,201,+0,+0.0000
482,50,-3,-0.0600
483,150,-16,-0.1067
484,100,+7,+0.0700
